Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
GEOJITFSL,   ,72.3,-2.56,24/05/2017 15:31:14,74.95,77,71.2,274673,0.45 X,0.00,NA,NA
GEPIL,   ,628.65,-3.41,24/05/2017 15:31:11,651.95,658.75,622,7077,0.3 X,0.00,NA,NA
GESHIP,   ,383.05,-4.7,24/05/2017 15:31:15,405.95,405.95,381,146475,1.08 X,5890.91,Shipping,Shipping
GET&D,   ,340.75,-0.44,24/05/2017 15:31:15,338.35,352,336.75,49096,0.38 X,0.00,NA,NA
GHCL,   ,237.95,-2.38,24/05/2017 15:31:25,240.45,248,235,190220,0.84 X,2366.12,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
GICHSGFIN,   ,508,0.62,24/05/2017 15:31:25,503.9,523.8,501.45,242166,0.63 X,2734.03,Finance,Finance - Housing
GILLANDERS,   ,66.7,-5.26,24/05/2017 15:31:18,70.5,71,65.2,4555,0.46 X,140.43,Diversified,Diversified
GILLETTE,   ,4584.45,-0.66,24/05/2017 15:31:25,4612.1,4669,4556,4705,0.25 X,14894.72,FMCG,Personal Care
GINNIFILA,   ,36.45,-6.06,24/05/2017 15:31:25,39.15,39.75,36.25,530599,0.8 X,256.2,Textiles,Textiles - Spinning - Cotton Blended
GIPCL,   ,105.15,0.00,24/05/2017 15:31:25,105.1,107,104,131142,1.04 X,1586.97,Power,Power - Generation/Distribution
GITANJALI,   ,60.65,-2.02,24/05/2017 15:31:15,62,63.15,60.4,199911,0.42 X,552.47,Jewellery,Diamond Cutting/Precious Metals/Jewellery
GKWLIMITED,   ,405.9,-1.59,24/05/2017 15:31:17,410,412.35,405.35,282,0.85 X,0.00,Misc,Fasteners
GLAXO,   ,2404.5,-0.72,24/05/2017 15:31:25,2420,2422,2381,8851,0.81 X,20697.57,Pharmaceuticals,Pharmaceuticals
GLENMARK,   ,631.95,-2.95,24/05/2017 15:31:08,648,652.15,628.25,2846125,1.05 X,17014.37,Pharmaceuticals,Pharmaceuticals
GLOBALVECT,   ,103.3,0.29,24/05/2017 15:31:15,107.9,107.9,100,13935,0.54 X,148.72,Misc,Services - Others
GLOBOFFS,   ,41,-3.42,24/05/2017 15:31:16,42.35,43.05,40.35,58703,0.9 X,100.2,Shipping,Shipping
GLOBUSSPR,   ,63.15,-1.25,24/05/2017 15:31:17,65.85,66.8,63,55713,0.41 X,145.25,Beverages,Beverages - Alcoholic - Breweries
GMBREW,   ,414.55,-2.07,24/05/2017 15:31:25,428.95,428.95,410.1,12279,0.44 X,387.23,Beverages,Beverages - Alcoholic - Distilleries
GMDCLTD,   ,133.35,0.11,24/05/2017 15:31:28,133.4,135.5,130.05,769755,0.6 X,4239.44,Mining,Mining/Minerals
GMRINFRA,   ,14.55,-8.49,24/05/2017 15:31:15,15.9,16,14.25,34269287,1.32 X,5663.44,Infrastructure,Infrastructure - General
GNA,   ,204.5,-1.16,24/05/2017 15:31:19,212.85,212.85,202.3,25038,0.4 X,0.00,NA,NA
GNFC,   ,272.85,-1.64,24/05/2017 15:31:25,276.85,279.95,269,470178,0.6 X,4245.68,Fertilisers,Fertilisers - Nitrogenous/Phosphate
GOACARBON,   ,129.8,-4.63,24/05/2017 15:31:16,137.05,137.05,128.75,43172,0.28 X,118.09,Petrochem,Petrochem - Others
GOCLCORP,   ,422.2,-0.66,24/05/2017 15:31:26,419,426.95,410,17629,1.22 X,0.00,Chemicals,Chemicals - Others
GODFRYPHLP,   ,1170,-0.94,24/05/2017 15:31:08,1182.4,1204.5,1154.05,94257,0.48 X,6002.64,Cigarettes,Cigarettes
GODREJCP,   ,1758.35,-0.2,24/05/2017 15:31:08,1775,1776.3,1733.35,287726,0.77 X,59691.21,FMCG,Personal Care
GODREJIND,   ,569.95,1.54,24/05/2017 15:31:13,560.75,573.6,551.8,726349,1.02 X,18071.54,Chemicals,Chemicals - Others
GODREJPROP,   ,484.8,-3.31,24/05/2017 15:31:18,504.8,504.8,478,1098734,1.26 X,7557.58,Construction,Construction and Contracting - Real Estate
GOKUL,   ,28.15,-3.26,24/05/2017 15:31:16,28.05,29.85,28.05,19444,0.09 X,377.15,Edible Oils,Edible Oils & Solvent Extraction
GOKULAGRO,   ,28.65,-1.21,24/05/2017 15:31:15,29.8,29.8,28.2,80421,0.25 X,0.00,NA,NA
GOLDBEES,   ,2624,-0.55,24/05/2017 15:31:15,2638,2638,2613.9,16622,0.94 X,0.00,ETF,Gold
GOLDIAM,   ,84.15,-2.72,24/05/2017 15:31:14,87,88.05,83.7,12922,0.36 X,211.26,Jewellery,Diamond Cutting/Precious Metals/Jewellery
GOLDSHARE,   ,2593.65,-0.1,24/05/2017 15:31:16,2592.9,2602.85,2581.65,1562,0.97 X,0.00,ETF,Gold
GOODLUCK,   ,83.25,-2.97,24/05/2017 15:31:30,86.4,88.35,80.95,18473,0.63 X,0.00,Steel,Steel
GPIL,   ,90.95,-2.36,24/05/2017 15:31:15,96,96,89.4,49372,0.77 X,288.11,Steel,Steel - Sponge Iron
GPPL,   ,146.2,-0.27,24/05/2017 15:31:21,149,150.55,144.2,127123,0.33 X,6176.51,Shipping,Ship - Docks/Breaking/Repairs
GPTINFRA,   ,250.7,-2.07,24/05/2017 15:31:18,260,267.05,246.05,15881,1.01 X,0.00,NA,NA
GRANULES,   ,134.35,-4.21,24/05/2017 15:31:14,140.9,144.75,131.9,3144308,1.43 X,2725.04,Pharmaceuticals,Pharmaceuticals
GRAPHITE,   ,108.4,-3.39,24/05/2017 15:31:25,118,118,107.3,272566,1.08 X,2115.76,Electronics,Electrodes - Graphite
GRASIM,   ,1097.85,0.09,24/05/2017 15:31:08,1105,1116,1087.05,1452854,1.43 X,50230.57,Diversified,Diversified
GRAVITA,   ,79.3,0.83,24/05/2017 15:31:22,79,83.5,78.45,495257,0.8 X,108.1,Metals,Metals - Non Ferrous - Others
GREAVESCOT,   ,149.25,-3.99,24/05/2017 15:31:25,156,158,148,231139,0.53 X,3640.42,Engines,Engines
GREENLAM,   ,724.3,-0.56,24/05/2017 15:31:08,731.15,739,723,27104,8.03 X,0.00,Misc,Miscellaneous
GREENPLY,   ,275.15,-0.13,24/05/2017 15:31:26,277.05,279.7,270.65,97966,2.43 X,3311.61,Consumer Goods,Decoratives - Wood Based
GREENPOWER,   ,8.55,-0.58,24/05/2017 15:31:21,8.8,8.85,8.5,157396,0.85 X,402.29,Power,Power - Generation/Distribution
GRINDWELL,   ,381.4,0.22,24/05/2017 15:31:15,377,384.95,375.3,25667,1.58 X,4244.51,Grinding Wheels,Abrasives/Grinding Wheels
GROBTEA,   ,301.05,-2.4,24/05/2017 15:31:18,338.95,338.95,291.5,175,0.57 X,0.00,NA,NA
GRPLTD,   ,1750,-0.64,24/05/2017 15:31:30,1787.8,1800,1750,593,2.43 X,0.00,Misc,Miscellaneous
GRUH,   ,400.35,4.68,24/05/2017 15:31:14,382.9,406.25,378.6,196734,0.85 X,2839.09,Finance,Finance - Housing
GSCLCEMENT,   ,28.3,-2.75,24/05/2017 15:31:24,29.25,29.55,28.15,44383,0.63 X,0.00,Cement,North India
GSFC,   ,118.45,-0.08,24/05/2017 15:31:25,118.1,123.25,116.5,1431825,0.58 X,4740.22,Fertilisers,Fertilisers - Nitrogenous/Phosphate
GSKCONS,   ,5264.85,-0.33,24/05/2017 15:31:26,5285,5310,5250,7706,1.19 X,22189.14,Food Processing,Food Processing - Dairy
GSPL,   ,172.6,0.70,24/05/2017 15:31:15,173,174.8,169.8,141672,0.22 X,9712.03,Petrochem,Petrochem - Others
GSS,   ,23.45,-2.09,24/05/2017 15:31:16,24.1,24.95,23.2,26178,0.17 X,33.22,Computers,Computers - Software
GTL,   ,14.1,-2.76,24/05/2017 15:31:25,14.85,14.85,14,157972,0.56 X,140.47,Telecom,Telecommunications - Equipment
GTLINFRA,   ,4.9,-2,24/05/2017 15:31:15,5,5.1,4.85,1770369,0.48 X,466.41,Telecom,Telecommunications - Equipment
GTNIND,   ,18.05,-3.22,24/05/2017 15:31:25,18,19.9,17.15,14667,0.94 X,31.67,Textiles,Textiles - Spinning - Cotton Blended
GTOFFSHORE,   ,11.95,-13.09,24/05/2017 15:31:15,13.75,13.75,11.5,303128,3.76 X,44.67,Shipping,Shipping
GUFICBIO,   ,63.8,-2.07,24/05/2017 15:31:14,65.5,66.95,63.35,261486,0.34 X,497.08,Pharmaceuticals,Pharmaceuticals
GUJALKALI,   ,440.5,1.23,24/05/2017 15:31:25,439,445.9,428.5,65985,0.71 X,3214.69,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
GUJAPOLLO,   ,172.9,1.62,24/05/2017 15:31:16,170,173,170,20784,1.38 X,287.65,Engineering,Engineering - Heavy
GUJFLUORO,   ,646,-1.22,24/05/2017 15:31:25,664.9,664.95,638.85,31468,0.28 X,7025.57,Chemicals,Chemicals - Organic - Others
GUJGASLTD,   ,750.15,-1.9,24/05/2017 15:31:13,775.55,787.7,749,53193,0.69 X,0.00,Gas,Miscellaneous
GUJNRECOKE,   ,2.1,-8.7,24/05/2017 15:31:27,2.3,2.3,2.05,2145948,1.93 X,121.51,Coke,Coke/Metallurgical Coke
GUJNREDVR,   ,1.85,-2.63,24/05/2017 15:31:20,1.9,1.95,1.75,51642,1.8 X,0.00,Coke,Coke/Metallurgical Coke
GULFOILLUB,   ,779.85,0.30,24/05/2017 15:31:27,770,786.9,770,5863,0.29 X,0.00,Chemicals,Chemicals - Others
GULFPETRO,   ,86.9,-1.53,24/05/2017 15:31:14,87.95,89.75,86.6,49689,0.51 X,0.00,Chemicals,Chemicals - Others
