,0,1,2,3,4,5,6,7,8,9,10
91,91,AURIONPRO,Aurionpro Solutions Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,25-Oct-05,10,1,INE132H01018,10
92,92,AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-Jul-00,1,1,INE406A01037,1
93,93,AUSOMENT,Ausom Enterprise Limited,Finance - Investments,Finance - Investments,EQ,17-Apr-96,10,1,INE218C01016,10
94,94,AUTOAXLES,Automotive Axles Limited,Auto Ancl,Auto Ancl,EQ,29-May-03,10,1,INE449A01011,10
95,95,AUTOIND,Autoline Industries Limited,Auto Ancillaries,Auto Ancillaries,EQ,31-Jan-07,10,1,INE718H01014,10
96,96,AVANTIFEED,Avanti Feeds Limited,Aquaculture,Aquaculture,EQ,15-Apr-15,1,1,INE871C01038,1
97,97,AVTNPL,AVT Natural Products Limited,Edible Oils & Solvent Extraction,Edible Oils & Solvent Extraction,EQ,10-Jan-07,1,1,INE488D01021,1
98,98,AXISBANK,Axis Bank Limited,Banks - Private,Banks - Private,EQ,16-Nov-98,2,1,INE238A01034,2
99,99,AXISCADES,AXISCADES Technologies Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,21-Dec-00,5,1,INE555B01013,5
100,100,AYMSYNTEX,AYM Syntex Limited,Textiles - Spinning - Synthetic Blended,Textiles - Spinning - Synthetic Blended,EQ,14-Aug-15,10,1,INE193B01039,10
101,101,BAGFILMS,B.A.G Films and Media Limited,Media & Entertainment,Media & Entertainment,BE,17-Oct-03,2,1,INE116D01028,2
102,102,BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-May-08,10,1,INE917I01010,10
103,103,BAJAJELEC,Bajaj Electricals Limited,Appliances,Appliances,EQ,02-Nov-07,2,1,INE193E01025,2
104,104,BAJAJFINSV,Bajaj Finserv Limited,Finance,Finance,EQ,26-May-08,1,1,INE918I01026,1
105,105,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Sugar,EQ,10-May-95,1,1,INE306A01021,1
106,106,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Finance - General,Finance - General,EQ,15-Mar-95,10,1,INE118A01012,10
107,107,BAJFINANCE,Bajaj Finance Limited,Finance,Finance,EQ,01-Apr-03,2,1,INE296A01024,2
