,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
29,AKSHARCHEM,AksharChem India Limited,,,EQ,28-Mar-17,10,1,INE542B01011,10
30,AKSHOPTFBR,Aksh Optifibre Limited,Cables,Cables - Telephone,EQ,18-Aug-00,5,1,INE523B01011,5
31,AKZOINDIA,Akzo Nobel India Limited,Paints,Paints/Varnishes,EQ,28-Jun-01,10,1,INE133A01011,10
32,ALANKIT,Alankit Limited,Finance,Finance - Investments,EQ,30-Jun-15,1,1,INE914E01040,1
33,ALBERTDAVD,Albert David Limited,,,EQ,14-Jun-16,10,1,INE155C01010,10
34,ALEMBICLTD,Alembic Limited,Pharmaceuticals,Pharmaceuticals,EQ,22-Sep-99,2,1,INE426A01027,2
35,ALICON,Alicon Castalloy Limited,Auto Ancl,Auto Ancl - Others,EQ,29-Sep-06,5,1,INE062D01024,5
36,ALKALI,Alkali Metals Limited,Metals,Metals - Non Ferrous - Others,EQ,06-Nov-08,10,1,INE773I01017,10
37,ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Bulk Drugs & Formln,EQ,23-Dec-15,2,1,INE540L01014,2
38,ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,Chemicals - Organic - Others,EQ,26-Nov-07,2,1,INE150B01039,2
39,ALLCARGO,Allcargo Logistics Limited,Transport,Transport - Road,EQ,23-Jun-06,2,1,INE418H01029,2
40,ALLSEC,Allsec Technologies Limited,Computers,IT Enabled Services,EQ,09-May-05,10,1,INE835G01018,10
41,ALMONDZ,Almondz Global Securities Limited,Finance,Finance - Investments,EQ,16-Jun-08,6,1,INE326B01027,6
42,ALPHAGEO,Alphageo (India) Limited,Oil Drilling,Oil Drilling And Exploration,EQ,11-May-07,10,1,INE137C01018,10
43,ALPSINDUS,Alps Industries Limited,Textiles,Textiles - General,EQ,24-Apr-96,10,1,INE093B01015,10
44,AMARAJABAT,Amara Raja Batteries Limited,Auto Ancl,Auto Ancl - Batteries,EQ,05-Sep-03,1,1,INE885A01032,1
45,AMBIKCO,Ambika Cotton Mills Limited,Textiles,Textiles - Spinning - Cotton Blended,EQ,29-Jan-08,10,1,INE540G01014,10
46,AMBUJACEM,Ambuja Cements Limited,Cement,Cement - Major,EQ,18-Feb-98,2,1,INE079A01024,2
47,AMDIND,AMD Industries Limited,Packaging,Packaging - Others,BE,19-Mar-07,10,1,INE005I01014,10
48,AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Pharmaceuticals,EQ,02-Jan-15,1,1,INE098F01031,1
49,ANANTRAJ,Anant Raj Limited,Construction,Construction and Contracting - Real Estate,EQ,27-Sep-06,2,1,INE242C01024,2
50,ANDHRSUGAR,The Andhra Sugars Limited,Sugar,Sugar - Others,EQ,01-Nov-95,2,1,INE715B01021,2
51,ANKITMETAL,Ankit Metal & Power Limited,Steel,Steel - Sponge Iron,EQ,14-Mar-13,10,1,INE106I01010,10
52,ANSALAPI,Ansal Properties & Infrastructure Limited,Construction,Construction & Contracting - Housing,BE,27-Jan-06,5,1,INE436A01026,5
53,ANSALHSG,Ansal Housing Limited,Construction,Construction & Contracting - Housing,EQ,06-Oct-06,10,1,INE880B01015,10
54,APARINDS,Apar Industries Limited,Electric,Electric Equipment - Transformers,EQ,12-Jul-04,10,1,INE372A01015,10
55,APCL,Anjani Portland Cement Limited,,,EQ,10-Apr-17,10,1,INE071F01012,10
56,APCOTEXIND,Apcotex Industries Limited,Misc,Rubber Processing/Rubber Products,EQ,06-Sep-95,2,1,INE116A01032,2
57,APLAPOLLO,APL Apollo Tubes Limited,Steel,Medium / Small,EQ,14-Dec-11,2,1,INE702C01027,2
58,APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Bulk Drugs & Formln,EQ,20-Sep-11,2,1,INE901L01018,2
59,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical,Hospitals & Medical Services,EQ,10-Jan-96,5,1,INE437A01024,5
60,APOLLOTYRE,Apollo Tyres Limited,Auto Ancl,Tyres & Tubes,EQ,31-May-95,1,1,INE438A01022,1
61,APTECHT,Aptech Limited,Computers,Computers - Software,EQ,27-Sep-02,10,1,INE266F01018,10
62,ARCHIDPLY,Archidply Industries Limited,Consumer Goods,Decoratives - Wood Based,EQ,04-Jul-08,10,1,INE877I01016,10
63,ARCHIES,Archies Limited,Printing,Printing/Publishing/Stationery,EQ,02-Sep-98,2,1,INE731A01020,2
64,ARIES,Aries Agro Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,11-Jan-08,10,1,INE298I01015,10
65,ARIHANTSUP,Arihant Superstructures Limited,,,EQ,28-Mar-17,10,1,INE643K01018,10
66,ARMANFIN,Arman Financial Services Limited,,,EQ,14-Jun-16,10,1,INE109C01017,10
67,AROGRANITE,Aro Granite Industries Limited,Misc,Granites/Marbles,EQ,24-Apr-07,10,1,INE210C01013,10
68,ARROWGREEN,Arrow Greentech Limited,,,BE,21-May-15,10,1,INE570D01018,10
69,ARSSINFRA,ARSS Infrastructure Projects Limited,Construction,Construction & Contracting - Civil,BE,03-Mar-10,10,1,INE267I01010,10
70,ARVIND,Arvind Limited,Textiles,Textiles - Denim,EQ,08-Feb-95,10,1,INE034A01011,10
71,ARVSMART,Arvind SmartSpaces Limited,,,EQ,26-Aug-15,10,1,INE034S01021,10
72,ASAHIINDIA,Asahi India Glass Limited,Glass,Glass - Others,EQ,18-Mar-98,1,1,INE439A01020,1
73,ASAHISONG,Asahi Songwon Colors Limited,Dyes,Dyes & Pigments,EQ,29-Aug-11,10,1,INE228I01012,10
74,ASAL,Automotive Stampings and Assemblies Limited,Auto Ancl,Auto Ancl - Others,EQ,12-Mar-02,10,1,INE900C01027,10
75,ASHAPURMIN,Ashapura Minechem Limited,Mining,Mining/Minerals,EQ,20-Sep-95,2,1,INE348A01023,2
76,ASHIANA,Ashiana Housing Limited,Construction,Construction and Contracting - Real Estate,EQ,29-Jun-11,2,1,INE365D01021,2
77,ASHIMASYN,Ashima Limited,Textiles,Textiles - Spinning - Cotton Blended,EQ,27-Jul-95,10,1,INE440A01010,10
78,ASHOKA,Ashoka Buildcon Limited,Construction,Construction & Contracting - Civil,EQ,14-Oct-10,5,1,INE442H01029,5
79,ASHOKLEY,Ashok Leyland Limited,Auto,Auto - LCVs/HCVs,EQ,25-May-95,1,1,INE208A01029,1
80,ASIANHOTNR,Asian Hotels (North) Limited,Hotels,Hotels,EQ,07-Apr-10,10,1,INE363A01022,10
81,ASIANPAINT,Asian Paints Limited,Paints,Paints/Varnishes,EQ,31-May-95,1,1,INE021A01026,1
82,ASIANTILES,Asian Granito India Limited,Ceramics,Ceramics/Tiles/Sanitaryware,EQ,23-Aug-07,10,1,INE022I01019,10
83,ASTEC,Astec LifeSciences Limited,Agro,Pesticides/Agro Chemicals,EQ,25-Nov-09,10,1,INE563J01010,10
84,ASTRAL,Astral Limited,Plastics,Plastics - Pipes/Tubes,EQ,20-Mar-07,1,1,INE006I01046,1
85,ASTRAMICRO,Astra Microwave Products Limited,Telecom,Telecommunications - Equipment,EQ,01-Nov-04,2,1,INE386C01029,2
86,ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,Pharmaceuticals,EQ,04-May-01,2,1,INE203A01020,2
87,ATFL,Agro Tech Foods Limited,Edible Oils,Edible Oils & Solvent Extraction,EQ,06-Dec-02,10,1,INE209A01019,10
88,ATLANTA,Atlanta  Limited,Infrastructure,Infrastructure - General,EQ,25-Sep-06,2,1,INE285H01022,2
89,ATUL,Atul Limited,Dyes,Dyes & Pigments,EQ,06-May-98,10,1,INE100A01010,10
90,ATULAUTO,Atul Auto Limited,Auto,Auto - 2 & 3 Wheelers,EQ,26-Jun-13,5,1,INE951D01028,5
91,AURIONPRO,Aurionpro Solutions Limited,Computers,Computers - Software,EQ,25-Oct-05,10,1,INE132H01018,10
92,AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-Jul-00,1,1,INE406A01037,1
93,AUSOMENT,Ausom Enterprise Limited,Trading,Trading,EQ,17-Apr-96,10,1,INE218C01016,10
94,AUTOAXLES,Automotive Axles Limited,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Others,EQ,29-May-03,10,1,INE449A01011,10
95,AUTOIND,Autoline Industries Limited,Auto Ancl,Auto Ancl - Equipment Lamp,EQ,31-Jan-07,10,1,INE718H01014,10
96,AVANTIFEED,Avanti Feeds Limited,Food Processing,Indian,EQ,15-Apr-15,1,1,INE871C01038,1
97,AVTNPL,AVT Natural Products Limited,Edible Oils,Edible Oils & Solvent Extraction,EQ,10-Jan-07,1,1,INE488D01021,1
98,AXISBANK,Axis Bank Limited,Banks - Private,Finance - Banks - Private Sector,EQ,16-Nov-98,2,1,INE238A01034,2
99,AXISCADES,AXISCADES Technologies Limited,Computers,Software - Medium / Small,EQ,21-Dec-00,5,1,INE555B01013,5
100,AYMSYNTEX,AYM Syntex Limited,Textiles,Textiles - Processing/Texturising,EQ,14-Aug-15,10,1,INE193B01039,10
101,BAGFILMS,B.A.G Films and Media Limited,Entertainment,Entertainment/Multi Media,BE,17-Oct-03,2,1,INE116D01028,2
102,BAJAJ-AUTO,Bajaj Auto Limited,Auto,Auto - 2 & 3 Wheelers,EQ,26-May-08,10,1,INE917I01010,10
103,BAJAJELEC,Bajaj Electricals Limited,Appliances,Domestic Appliances - Fans,EQ,02-Nov-07,2,1,INE193E01025,2
104,BAJAJFINSV,Bajaj Finserv Limited,Finance,Finance - General,EQ,26-May-08,1,1,INE918I01026,1
105,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Sugar - Integrated,EQ,10-May-95,1,1,INE306A01021,1
106,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Finance,Finance - Investments,EQ,15-Mar-95,10,1,INE118A01012,10
107,BAJFINANCE,Bajaj Finance Limited,Finance,Finance - Leasing & Hire Purchase,EQ,01-Apr-03,2,1,INE296A01024,2
108,BALAJITELE,Balaji Telefilms Limited,Entertainment,Entertainment/Multi Media,EQ,22-Nov-00,2,1,INE794B01026,2
109,BALAMINES,Balaji Amines Limited,Chemicals,Chemicals - Organic - Others,EQ,05-Apr-07,2,1,INE050E01027,2
110,BALKRISHNA,Balkrishna Paper Mills Limited,,,EQ,28-Jul-15,10,1,INE875R01011,10
111,BALKRISIND,Balkrishna Industries Limited,Auto Ancl,Tyres & Tubes,EQ,27-Jan-06,2,1,INE787D01026,2
112,BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified,EQ,06-Jul-95,10,1,INE164A01016,10
113,BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-May-06,10,1,INE083D01012,10
114,BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Sugar - Integrated,EQ,08-Feb-95,1,1,INE119A01028,1
115,BANARISUG,Bannari Amman Sugars Limited,Sugar,Sugar - Others,EQ,28-May-03,10,1,INE459A01010,10
116,BANCOINDIA,Banco Products (I) Limited,Auto Ancl,Auto Ancl - Engine Parts,EQ,22-Dec-06,2,1,INE213C01025,2
117,BANKBARODA,Bank of Baroda,Banks - PSU,Finance - Banks - Public Sector,EQ,19-Feb-97,2,1,INE028A01039,2
118,BANKINDIA,Bank of India,Banks - PSU,Finance - Banks - Public Sector,EQ,30-Apr-97,10,1,INE084A01016,10
119,BANSWRAS,Banswara Syntex Limited,Textiles,Textiles - Spinning - Synthetic Blended,EQ,11-Apr-07,5,1,INE629D01020,5
120,BARTRONICS,Bartronics India Limited,Computers,Computers - Hardware,BZ,12-Jan-06,10,1,INE855F01034,10
121,BASF,BASF India Limited,Chemicals,Chemicals - Organic - Others,EQ,17-May-95,10,1,INE373A01013,10
122,BASML,Bannari Amman Spinning Mills Limited,Textiles,Textiles - General,EQ,14-Nov-05,5,1,INE186H01022,5
123,BATAINDIA,Bata India Limited,Leather,Leather/Synthetic - Footwear,EQ,18-Jun-03,5,1,INE176A01028,5
124,BAYERCROP,Bayer Cropscience Limited,Agro,Pesticides/Agro Chemicals,EQ,08-Jan-10,10,1,INE462A01022,10
125,BBL,Bharat Bijlee Limited,Electric,Electric Equipment - Transformers,EQ,21-Nov-06,10,1,INE464A01028,10
126,BBTC,Bombay Burmah Trading Corporation Limited,Tea-Coffee,Plantations - Tea & Coffee,EQ,03-Apr-96,2,1,INE050A01025,2
127,BEDMUTHA,Bedmutha Industries Limited,Electronics,Electronics - Others,EQ,14-Oct-10,10,1,INE844K01012,10
128,BEL,Bharat Electronics Limited,Electronics,Electronics - Others,EQ,19-Jul-00,1,1,INE263A01024,1
129,BEML,BEML Limited,Engineering,Engineering - Heavy,EQ,05-Nov-03,10,1,INE258A01016,10
130,BEPL,Bhansali Engineering Polymers Limited,Petrochem,Petrochem - Polymers,EQ,21-Mar-05,1,1,INE922A01025,1
131,BERGEPAINT,Berger Paints (I) Limited,Paints,Paints/Varnishes,EQ,24-Nov-99,1,1,INE463A01038,1
132,BFINVEST,BF Investment Limited,Finance,Finance - Investments,EQ,14-Jan-11,5,1,INE878K01010,5
133,BFUTILITIE,BF Utilities Limited,Power,Power - Generation/Distribution,EQ,03-May-07,5,1,INE243D01012,5
134,BGRENERGY,BGR Energy Systems Limited,Engineering,Engineering - General,EQ,03-Jan-08,10,1,INE661I01014,10
135,BHAGERIA,Bhageria Industries Limited,Dyes,Dyes & Pigments,EQ,02-Mar-16,5,1,INE354C01027,5
136,BHANDARI,Bhandari Hosiery Exports Limited,,,EQ,30-Jan-17,1,1,INE474E01029,1
137,BHARATFORG,Bharat Forge Limited,Auto Ancl,Forgings,EQ,04-Apr-03,2,1,INE465A01025,2
138,BHARATGEAR,Bharat Gears Limited,Auto Ancl,Auto Ancl - Gears & Drive,EQ,03-Apr-96,10,1,INE561C01019,10
139,BHARATRAS,Bharat Rasayan Limited,Agro,Pesticides/Agro Chemicals,EQ,11-Oct-95,10,1,INE838B01013,10
140,BHARATWIRE,Bharat Wire Ropes Limited,,,EQ,01-Apr-16,10,1,INE316L01019,10
141,BHARTIARTL,Bharti Airtel Limited,Telecom,Telecommunications - Service,EQ,15-Feb-02,5,1,INE397D01024,5
142,BHEL,Bharat Heavy Electricals Limited,Engineering,Engineering - Heavy,EQ,11-Nov-03,2,1,INE257A01026,2
143,BIGBLOC,Bigbloc Construction Limited,,,EQ,02-Sep-16,2,1,INE412U01025,2
144,BIL,Bhartiya International Limited,Leather,Leather - Garments,EQ,12-Apr-00,10,1,INE828A01016,10
145,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,28-Aug-96,10,1,INE143A01010,10
146,BIOCON,Biocon Limited,Pharmaceuticals,Pharmaceuticals,EQ,07-Apr-04,5,1,INE376G01013,5
147,BIRLACABLE,Birla Cable Limited,,,EQ,06-Dec-95,10,1,INE800A01015,10
148,BIRLACORPN,Birla Corporation Limited,Cement,Cement - Major,EQ,12-Apr-95,10,1,INE340A01012,10
149,BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Contraceptives,EQ,26-Jul-10,1,1,INE416D01022,1
150,BLKASHYAP,B. L. Kashyap and Sons Limited,Construction,Construction & Contracting - Civil,EQ,17-Mar-06,1,1,INE350H01032,1
151,BLS,BLS International Services Limited,,,EQ,14-Jun-16,1,1,INE153T01027,1
152,BLUECOAST,Blue Coast Hotels Limited,Pharmaceuticals,Pharmaceuticals,BE,16-Feb-00,10,1,INE472B01011,10
153,BLUEDART,Blue Dart Express Limited,Couriers,Couriers,EQ,12-Dec-02,10,1,INE233B01017,10
154,BLUESTARCO,Blue Star Limited,Air Conditioners,Air Conditioners,EQ,15-Jun-00,2,1,INE472A01039,2
155,BODALCHEM,Bodal Chemicals Limited,Dyes,Dyes & Pigments,EQ,22-Aug-11,2,1,INE338D01028,2
156,BOMDYEING,Bombay Dyeing & Mfg Company Limited,Petrochem,Petrochem - Polymers,EQ,26-Apr-95,2,1,INE032A01023,2
157,BOSCHLTD,Bosch Limited,Auto Ancl,Auto Ancl - Engine Parts,EQ,12-May-03,10,1,INE323A01026,10
158,BPCL,Bharat Petroleum Corporation Limited,Refineries,Refineries,EQ,13-Sep-95,10,1,INE029A01011,10
159,BPL,BPL Limited,Consumer Goods,Consumer Goods - Electronic,EQ,14-Jun-95,10,1,INE110A01019,10
160,BRIGADE,Brigade Enterprises Limited,Construction,Construction and Contracting - Real Estate,EQ,31-Dec-07,10,1,INE791I01019,10
161,BRITANNIA,Britannia Industries Limited,Food Processing,Food Processing - Dairy,EQ,05-Nov-98,1,1,INE216A01030,1
162,BROOKS,Brooks Laboratories Limited,Pharmaceuticals,Bulk Drugs & Formln,BE,05-Sep-11,10,1,INE650L01011,10
163,BSE,BSE Limited,,,EQ,03-Feb-17,2,1,INE118H01025,2
164,BSL,BSL Limited,Textiles,Textiles - Weaving,EQ,27-Jul-95,10,1,INE594B01012,10
165,BURNPUR,Burnpur Cement Limited,Cement,Cement - Products/Building Materials,EQ,03-Jan-08,10,1,INE817H01014,10
166,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Appliances,Domestic Appliances - Others,EQ,28-Apr-14,10,1,INE295F01017,10
167,BYKE,The Byke Hospitality Ltd,Hotels,Hotels,EQ,15-Apr-15,10,1,INE319B01014,10
168,CAMLINFINE,Camlin Fine Sciences Limited,Chemicals,Chemicals - Others,EQ,20-Jan-15,1,1,INE052I01032,1
169,CANBK,Canara Bank,Banks - PSU,Finance - Banks - Public Sector,EQ,23-Dec-02,10,1,INE476A01014,10
170,CANFINHOME,Can Fin Homes Limited,Finance,Finance - Housing,EQ,10-May-95,2,1,INE477A01020,2
171,CANTABIL,Cantabil Retail India Limited,Textiles,Textiles - Readymade Apparels,EQ,12-Oct-10,10,1,INE068L01016,10
172,CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,Formulations,EQ,23-Jun-14,2,1,INE475E01026,2
173,CAPTRUST,Capital Trust Limited,,,EQ,16-Jan-17,10,1,INE707C01018,10
174,CARBORUNIV,Carborundum Universal Limited,Grinding Wheels,Abrasives/Grinding Wheels,EQ,03-Apr-96,1,1,INE120A01034,1
175,CAREERP,Career Point Limited,Misc,Miscellaneous,EQ,06-Oct-10,10,1,INE521J01018,10
176,CARERATING,CARE Ratings Limited,Misc,Miscellaneous,EQ,26-Dec-12,10,1,INE752H01013,10
177,CASTROLIND,Castrol India Limited,Chemicals,Chemicals - Others,EQ,14-Mar-14,5,1,INE172A01027,5
178,CCHHL,Country Club Hospitality & Holidays Limited,Hotels,Hotels,BE,03-Feb-15,2,1,INE652F01027,2
179,CCL,CCL Products (India) Limited,Tea-Coffee,Plantations - Tea & Coffee,EQ,07-Jun-04,2,1,INE421D01022,2
180,CEATLTD,CEAT Limited,Auto Ancl,Tyres & Tubes,EQ,01-Feb-08,10,1,INE482A01020,10
181,CELEBRITY,Celebrity Fashions Limited,Textiles,Textiles - Readymade Apparels,EQ,12-Jan-06,10,1,INE185H01016,10
182,CENTENKA,Century Enka Limited,Textiles,Textiles - Manmade Fibre - PFY/PSF,EQ,10-May-95,10,1,INE485A01015,10
183,CENTRALBK,Central Bank of India,Banks - PSU,Finance - Banks - Public Sector,EQ,21-Aug-07,10,1,INE483A01010,10
184,CENTUM,Centum Electronics Limited,Electronics,Electronics - Others,EQ,05-Oct-07,10,1,INE320B01020,10
185,CENTURYPLY,Century Plyboards (India) Limited,Consumer Goods,Decoratives - Wood Based,EQ,23-Mar-06,1,1,INE348B01021,1
186,CENTURYTEX,Century Textiles & Industries Limited,Diversified,Diversified,EQ,27-Jun-03,10,1,INE055A01016,10
187,CERA,Cera Sanitaryware Limited,Ceramics,Ceramics/Tiles/Sanitaryware,EQ,02-Nov-07,5,1,INE739E01017,5
188,CEREBRAINT,Cerebra Integrated Technologies Limited,Computers,Computers - Hardware,EQ,26-Jun-13,10,1,INE345B01019,10
189,CESC,CESC Limited,Power,Power - Generation/Distribution,EQ,08-Feb-95,1,1,INE486A01021,1
190,CGCL,Capri Global Capital Limited,Finance,Finance - Investments,EQ,29-Oct-10,2,1,INE180C01026,2
191,CGPOWER,CG Power and Industrial Solutions Limited,,,EQ,01-Mar-95,2,1,INE067A01029,2
192,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,14-Jun-95,10,1,INE085A01013,10
193,CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries,Refineries,EQ,07-Jun-00,10,1,INE178A01016,10
194,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Finance,Finance - Leasing & Hire Purchase,EQ,15-May-96,2,1,INE121A01024,2
195,CIGNITITEC,Cigniti Technologies Limited,Computers,Software - Medium / Small,EQ,13-Oct-14,10,1,INE675C01017,10
