,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
215,CUB,City Union Bank Limited,Banks - Private,Finance - Banks - Private Sector,EQ,25-Aug-98,1,1,INE491A01021,1
216,CUMMINSIND,Cummins India Limited,Engines,Engines,EQ,29-Mar-95,2,1,INE298A01020,2
217,CUPID,Cupid Limited,,,EQ,16-Sep-16,10,1,INE509F01011,10
218,CYBERTECH,Cybertech Systems And Software Limited,Computers,Computers - Software,EQ,27-Jan-99,10,1,INE214A01019,10
219,CYIENT,Cyient Limited,Computers,Software - Medium / Small,EQ,30-Sep-98,5,1,INE136B01020,5
220,DAAWAT,LT Foods Limited,Misc,Food Wholesale,EQ,18-Dec-06,1,1,INE818H01020,1
221,DABUR,Dabur India Limited,FMCG,Personal Care,EQ,28-Apr-99,1,1,INE016A01026,1
222,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar,Sugar - Integrated,EQ,17-Jan-96,2,1,INE495A01022,2
223,DAMODARIND,Damodar Industries Limited,,,EQ,04-Jul-16,5,1,INE497D01022,5
224,DATAMATICS,Datamatics Global Services Limited,Computers,Computers - Software,EQ,07-May-04,5,1,INE365B01017,5
225,DBCORP,D.B.Corp Limited,Printing,Printing/Publishing/Stationery,EQ,06-Jan-10,10,1,INE950I01011,10
226,DBL,Dilip Buildcon Limited,,,EQ,11-Aug-16,10,1,INE917M01012,10
227,DBREALTY,D B Realty Limited,Construction,Construction and Contracting - Real Estate,EQ,24-Feb-10,10,1,INE879I01012,10
228,DBSTOCKBRO,DB (International) Stock Brokers Limited,Finance,Finance - Investments,EQ,29-Feb-12,2,1,INE921B01025,2
229,DCBBANK,DCB Bank Limited,Banks - Private,Finance - Banks - Private Sector,EQ,27-Oct-06,10,1,INE503A01015,10
230,DCM,DCM  Limited,Textiles,Textiles - Spinning - Cotton Blended,EQ,29-Mar-95,10,1,INE498A01018,10
231,DCMSHRIRAM,DCM Shriram Limited,Diversified,Mega,EQ,12-Apr-95,2,1,INE499A01024,2
232,DCW,DCW Limited,Petrochem,Petrochem - Others,EQ,25-May-95,2,1,INE500A01029,2
233,DECCANCE,Deccan Cements Limited,Cement,Cement - Mini,EQ,02-Aug-07,5,1,INE583C01021,5
234,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,17-Jan-03,10,1,INE501A01019,10
235,DEEPAKNTR,Deepak Nitrite Limited,Chemicals,Chemicals - Inorganic - Others,EQ,29-Sep-10,2,1,INE288B01029,2
236,DELTACORP,Delta Corp Limited,Diversified,Diversified,EQ,02-Nov-07,1,1,INE124G01033,1
237,DELTAMAGNT,Delta Manufacturing Limited,Electronics,Electronics - Others,EQ,18-Oct-95,10,1,INE393A01011,10
238,DEN,Den Networks Limited,Entertainment,Entertainment/Multi Media,EQ,24-Nov-09,10,1,INE947J01015,10
239,DENORA,De Nora India Limited,Misc,Welding Equipment - Electrodes,EQ,07-Aug-97,10,1,INE244A01016,10
